Data_incidente;Latitudine;Longitudine;Centro_abitato;Tipo_di_strada;Caratteristiche_della_strada;Stato_fondo_stradale;Tipo_pavimentazione;Condizioni_meteo;Condizioni_traffico;Danni_a_cose;Incidente_con_lesioni;Inviata_ore;Sul_posto_ore;DIFF. Intervento
05/05/2023;4.110.002.285;1.686.730.871;si;Strada Urbana;Incrocio;Asciutto;Asfaltata;Sereno;Normale;no;si;08:20;08:35;15
05/05/2023;411.345;1.681.706;si;Strada Urbana;Rettilineo;Asciutto;Asfaltata;Sereno;Normale;no;si;10:00;10:20;20
05/05/2023;4.110.052.339;1.687.454.807;si;Strada Urbana;Rettilineo;Asciutto;Asfaltata;Sereno;Normale;no;si;18:00;18:20;20
05/05/2023;4.109.275;1.687.022;si;Strada Urbana;Rettilineo;Asciutto;Asfaltata;Nuvoloso;Intenso;no;si;19:00;19:15;15
05/05/2023;411.076.245;168.583.985;si;Strada Urbana;Cavalcavia;Asciutto;Asfaltata;Sereno;Intenso;no;no;00:00;00:00;0
06/05/2023;411.218.813;168.518.906;si;Strada Urbana;Incrocio;Asciutto;Asfaltata;Sereno;Normale;no;si;06:40;06:50;10
06/05/2023;4.111.473;1.684.084;si;Strada Urbana;Rettilineo;Asciutto;Asfaltata;Sereno;Normale;no;si;09:50;10:05;15
06/05/2023;411.229;1.680.238;si;Strada Urbana;Rettilineo;Asciutto;Asfaltata;Sereno;Intenso;no;si;00:00;00:00;0
06/05/2023;4.111.924;1.679.408;si;Strada Urbana;Rettilineo;Asciutto;Asfaltata;Sereno;Normale;no;no;11:10;11:20;10
06/05/2023;4.116.198;1.675.289;si;Strada Urbana;Incrocio;Asciutto;Asfaltata;Sereno;Scarso;no;no;12:27;12:30;3
06/05/2023;411.068.234;168.640.253;si;Strada Urbana;Rettilineo;Asciutto;Strada pavimentata dissestata;Sereno;Scarso;no;no;14:20;14:25;5
06/05/2023;4.111.641;1.685.589;si;Strada Urbana;Incrocio;Asciutto;Asfaltata;Sereno;Scarso;no;si;15:15;15:23;8
06/05/2023;4.109.745;1.685.426;si;Strada Urbana;Intersezione stradale segnalata;Asciutto;Asfaltata;Sereno;Normale;no;si;16:20;16:26;6
06/05/2023;4.113.072;1.683.783;si;Strada Urbana;Incrocio;Asciutto;Asfaltata;Sereno;Normale;no;no;16:20;16:30;10
06/05/2023;4.113.235;1.686.899;si;Strada Urbana;Rettilineo;Asciutto;Asfaltata;Sereno;Normale;no;no;17:40;17:50;10
06/05/2023;4.112.272;168.784;si;Strada Urbana;Rettilineo;Asciutto;Asfaltata;Sereno;Intenso;no;no;20:10;20:15;5
06/05/2023;4.109.319;1.687.046;si;Strada Urbana;Incrocio;Asciutto;Asfaltata;Sereno;Normale;no;no;21:10;21:15;5
07/05/2023;411.208.409;16.872.566;si;Strada Urbana;Intersezione semaforizzata;Asciutto;Asfaltata;Sereno;Scarso;no;si;00:55;01:02;7
07/05/2023;41.098.017;16.956.136;si;Strada Urbana;Rettilineo;Asciutto;Asfaltata;Sereno;Scarso;no;si;13:30;13:40;10
07/05/2023;4.108.723;1.699.908;si;Strada Urbana;Rettilineo;Asciutto;Asfaltata;Sereno;Normale;no;no;16:45;16:55;10
07/05/2023;4.111.744;1.687.625;si;Strada Urbana;Rettilineo;Asciutto;Asfaltata;Sereno;Intenso;no;no;18:00;18:10;10
07/05/2023;4.111.694;1.686.924;si;Strada Urbana;Rettilineo;Asciutto;Asfaltata;Sereno;Normale;no;si;18:15;18:25;10
08/05/2023;4.110.316;1.686.704;si;Strada Urbana;Incrocio;Asciutto;Asfaltata;Sereno;Scarso;no;si;02:45;02:55;10
08/05/2023;4.112.994;1.684.417;si;Strada Urbana;Rettilineo;Asciutto;Asfaltata;Sereno;Normale;si;no;00:00;00:00;0
08/05/2023;4.112.331;1.687.492;si;Strada Urbana;Incrocio;Asciutto;Asfaltata;Sereno;Normale;no;no;10:30;10:40;10
