NomeCentralina ;DataRilevazione ;Provincia ;Comune ;Sigla ;Valore0
Altamura - Via Santeramo;22/03/2023;Bari;Altamura;O3;90
Altamura - Via Santeramo;23/03/2023;Bari;Altamura;O3;103
Altamura - Via Santeramo;24/03/2023;Bari;Altamura;O3;97
Altamura - Via Santeramo;25/03/2023;Bari;Altamura;O3;95
Altamura - Via Santeramo;26/03/2023;Bari;Altamura;O3;96
Altamura - Via Santeramo;27/03/2023;Bari;Altamura;O3;86
Altamura - Via Santeramo;28/03/2023;Bari;Altamura;O3;87
Altamura - Via Santeramo;29/03/2023;Bari;Altamura;O3;100
Altamura - Via Santeramo;30/03/2023;Bari;Altamura;O3;89
Altamura - Via Santeramo;31/03/2023;Bari;Altamura;O3;84
Altamura - Via Santeramo;01/04/2023;Bari;Altamura;O3;109
Altamura - Via Santeramo;02/04/2023;Bari;Altamura;O3;94
Altamura - Via Santeramo;03/04/2023;Bari;Altamura;O3;87
Altamura - Via Santeramo;04/04/2023;Bari;Altamura;O3;71
Altamura - Via Santeramo;05/04/2023;Bari;Altamura;O3;71
Altamura - Via Santeramo;06/04/2023;Bari;Altamura;O3;86
Altamura - Via Santeramo;07/04/2023;Bari;Altamura;O3;96
Altamura - Via Santeramo;08/04/2023;Bari;Altamura;O3;95
Altamura - Via Santeramo;09/04/2023;Bari;Altamura;O3;91
Altamura - Via Santeramo;10/04/2023;Bari;Altamura;O3;83
Altamura - Via Santeramo;11/04/2023;Bari;Altamura;O3;91
Altamura - Via Santeramo;12/04/2023;Bari;Altamura;O3;96
Altamura - Via Santeramo;13/04/2023;Bari;Altamura;O3;92
Altamura - Via Santeramo;14/04/2023;Bari;Altamura;O3;95
Altamura - Via Santeramo;15/04/2023;Bari;Altamura;O3;85
Altamura - Via Santeramo;16/04/2023;Bari;Altamura;O3;74
Altamura - Via Santeramo;17/04/2023;Bari;Altamura;O3;75
Altamura - Via Santeramo;18/04/2023;Bari;Altamura;O3;78
Altamura - Via Santeramo;19/04/2023;Bari;Altamura;O3;67
Altamura - Via Santeramo;20/04/2023;Bari;Altamura;O3;83
Altamura - Via Santeramo;21/04/2023;Bari;Altamura;O3;92
Altamura - Via Santeramo;22/04/2023;Bari;Altamura;O3;96
Altamura - Via Santeramo;23/04/2023;Bari;Altamura;O3;108
Altamura - Via Santeramo;24/04/2023;Bari;Altamura;O3;91
Altamura - Via Santeramo;25/04/2023;Bari;Altamura;O3;98
Altamura - Via Santeramo;26/04/2023;Bari;Altamura;O3;93
Altamura - Via Santeramo;27/04/2023;Bari;Altamura;O3;95
Altamura - Via Santeramo;28/04/2023;Bari;Altamura;O3;100
Altamura - Via Santeramo;29/04/2023;Bari;Altamura;O3;104
Altamura - Via Santeramo;30/04/2023;Bari;Altamura;O3;90
Altamura - Via Santeramo;01/05/2023;Bari;Altamura;O3;94
Altamura - Via Santeramo;02/05/2023;Bari;Altamura;O3;95
Altamura - Via Santeramo;03/05/2023;Bari;Altamura;O3;86
Altamura - Via Santeramo;04/05/2023;Bari;Altamura;O3;82
