NomeCentralina ;DataRilevazione ;Provincia ;Comune ;Sigla ;Valore ;Superamenti PM10* 
Altamura - Via Santeramo;16/03/2023;Bari;Altamura;PM10;13;7
Altamura - Via Santeramo;17/03/2023;Bari;Altamura;PM10;14;7
Altamura - Via Santeramo;18/03/2023;Bari;Altamura;PM10;26;7
Altamura - Via Santeramo;19/03/2023;Bari;Altamura;PM10;23;7
Altamura - Via Santeramo;20/03/2023;Bari;Altamura;PM10;21;7
Altamura - Via Santeramo;21/03/2023;Bari;Altamura;PM10;14;7
Altamura - Via Santeramo;22/03/2023;Bari;Altamura;PM10;19;7
Altamura - Via Santeramo;23/03/2023;Bari;Altamura;PM10;22;7
Altamura - Via Santeramo;24/03/2023;Bari;Altamura;PM10;19;7
Altamura - Via Santeramo;25/03/2023;Bari;Altamura;PM10;16;7
Altamura - Via Santeramo;26/03/2023;Bari;Altamura;PM10;12;7
Altamura - Via Santeramo;27/03/2023;Bari;Altamura;PM10;14;7
Altamura - Via Santeramo;28/03/2023;Bari;Altamura;PM10;11;7
Altamura - Via Santeramo;29/03/2023;Bari;Altamura;PM10;11;7
Altamura - Via Santeramo;30/03/2023;Bari;Altamura;PM10;15;7
Altamura - Via Santeramo;31/03/2023;Bari;Altamura;PM10;22;7
Altamura - Via Santeramo;01/04/2023;Bari;Altamura;PM10;24;7
Altamura - Via Santeramo;02/04/2023;Bari;Altamura;PM10;18;7
Altamura - Via Santeramo;03/04/2023;Bari;Altamura;PM10;14;7
Altamura - Via Santeramo;04/04/2023;Bari;Altamura;PM10;10;7
Altamura - Via Santeramo;05/04/2023;Bari;Altamura;PM10;14;7
Altamura - Via Santeramo;06/04/2023;Bari;Altamura;PM10;14;7
Altamura - Via Santeramo;07/04/2023;Bari;Altamura;PM10;15;7
Altamura - Via Santeramo;08/04/2023;Bari;Altamura;PM10;16;7
Altamura - Via Santeramo;09/04/2023;Bari;Altamura;PM10;8;7
Altamura - Via Santeramo;10/04/2023;Bari;Altamura;PM10;11;7
Altamura - Via Santeramo;11/04/2023;Bari;Altamura;PM10;13;7
Altamura - Via Santeramo;12/04/2023;Bari;Altamura;PM10;8;7
Altamura - Via Santeramo;13/04/2023;Bari;Altamura;PM10;0;7
Altamura - Via Santeramo;14/04/2023;Bari;Altamura;PM10;12;7
Altamura - Via Santeramo;15/04/2023;Bari;Altamura;PM10;14;7
Altamura - Via Santeramo;16/04/2023;Bari;Altamura;PM10;8;7
Altamura - Via Santeramo;17/04/2023;Bari;Altamura;PM10;9;7
Altamura - Via Santeramo;18/04/2023;Bari;Altamura;PM10;11;7
Altamura - Via Santeramo;19/04/2023;Bari;Altamura;PM10;0;7
Altamura - Via Santeramo;20/04/2023;Bari;Altamura;PM10;17;7
Altamura - Via Santeramo;21/04/2023;Bari;Altamura;PM10;17;7
Altamura - Via Santeramo;22/04/2023;Bari;Altamura;PM10;18;7
Altamura - Via Santeramo;23/04/2023;Bari;Altamura;PM10;17;7
Altamura - Via Santeramo;24/04/2023;Bari;Altamura;PM10;20;7
Altamura - Via Santeramo;25/04/2023;Bari;Altamura;PM10;11;7
Altamura - Via Santeramo;26/04/2023;Bari;Altamura;PM10;0;7
Altamura - Via Santeramo;27/04/2023;Bari;Altamura;PM10;10;7
Altamura - Via Santeramo;28/04/2023;Bari;Altamura;PM10;13;7
Altamura - Via Santeramo;29/04/2023;Bari;Altamura;PM10;14;7
Altamura - Via Santeramo;30/04/2023;Bari;Altamura;PM10;15;7
Altamura - Via Santeramo;01/05/2023;Bari;Altamura;PM10;0;7
Altamura - Via Santeramo;02/05/2023;Bari;Altamura;PM10;0;7
Altamura - Via Santeramo;03/05/2023;Bari;Altamura;PM10;11;7
Altamura - Via Santeramo;04/05/2023;Bari;Altamura;PM10;16;7
Altamura - Via Santeramo;05/05/2023;Bari;Altamura;PM10;17;7
Altamura - Via Santeramo;06/05/2023;Bari;Altamura;PM10;16;7
Altamura - Via Santeramo;07/05/2023;Bari;Altamura;PM10;16;7
Altamura - Via Santeramo;08/05/2023;Bari;Altamura;PM10;26;7
Altamura - Via Santeramo;09/05/2023;Bari;Altamura;PM10;20;7
Altamura - Via Santeramo;10/05/2023;Bari;Altamura;PM10;17;7
Altamura - Via Santeramo;11/05/2023;Bari;Altamura;PM10;14;7
Altamura - Via Santeramo;12/05/2023;Bari;Altamura;PM10;16;7
Altamura - Via Santeramo;13/05/2023;Bari;Altamura;PM10;14;7
Altamura - Via Santeramo;14/05/2023;Bari;Altamura;PM10;24;7
Altamura - Via Santeramo;15/05/2023;Bari;Altamura;PM10;22;7
Altamura - Via Santeramo;16/05/2023;Bari;Altamura;PM10;0;7
Altamura - Via Santeramo;17/05/2023;Bari;Altamura;PM10;11;7
Altamura - Via Santeramo;18/05/2023;Bari;Altamura;PM10;13;7
Altamura - Via Santeramo;19/05/2023;Bari;Altamura;PM10;18;7
Altamura - Via Santeramo;20/05/2023;Bari;Altamura;PM10;18;7
Altamura - Via Santeramo;21/05/2023;Bari;Altamura;PM10;15;7
Altamura - Via Santeramo;22/05/2023;Bari;Altamura;PM10;20;7
Altamura - Via Santeramo;23/05/2023;Bari;Altamura;PM10;20;7
Altamura - Via Santeramo;24/05/2023;Bari;Altamura;PM10;21;7
Altamura - Via Santeramo;25/05/2023;Bari;Altamura;PM10;24;7
Altamura - Via Santeramo;26/05/2023;Bari;Altamura;PM10;20;7
Altamura - Via Santeramo;27/05/2023;Bari;Altamura;PM10;15;7
Altamura - Via Santeramo;28/05/2023;Bari;Altamura;PM10;16;7
